,Date,Time,Open,High,Low,Close,Volume
1490,2021.08.17,00:00,1787.35,1795.4,1780.49,1786.07,75645
1491,2021.08.18,00:00,1786.1,1793.69,1777.25,1787.36,76232
1492,2021.08.19,00:00,1787.15,1792.34,1774.39,1778.95,84308
1493,2021.08.20,00:00,1778.98,1788.32,1778.22,1781.08,65956
1494,2021.08.22,00:00,1780.78,1782.27,1777.32,1778.59,3113
1495,2021.08.23,00:00,1778.41,1806.35,1776.38,1804.72,71869
1496,2021.08.24,00:00,1804.63,1809.42,1800.62,1801.76,62165
1497,2021.08.25,00:00,1801.74,1802.55,1782.44,1791.52,68868
1498,2021.08.26,00:00,1791.4,1798.05,1779.94,1793.44,67572
1499,2021.08.27,00:00,1793.13,1819.15,1784.58,1816.8,71300
1500,2021.08.29,00:00,1818.26,1819.08,1817.12,1818.43,2461
1501,2021.08.30,00:00,1818.47,1823.08,1807.65,1810.36,61402
1502,2021.08.31,00:00,1810.28,1819.09,1801.6,1814.45,74221
1503,2021.09.01,00:00,1814.41,1819.88,1808.56,1813.07,67741
1504,2021.09.02,00:00,1812.95,1816.97,1804.9,1809.41,58189
1505,2021.09.03,00:00,1809.5,1833.87,1808.87,1827.48,63642
1506,2021.09.05,00:00,1827.99,1830.17,1827.33,1827.54,2608
1507,2021.09.06,00:00,1827.66,1828.41,1821.29,1823.5,38754
1508,2021.09.07,00:00,1823.37,1827.13,1792.34,1795.61,74261
1509,2021.09.08,00:00,1795.63,1802.02,1782.25,1790.67,70605
1510,2021.09.09,00:00,1790.37,1800.86,1783.76,1794.72,74375
1511,2021.09.10,00:00,1794.69,1803.73,1787.02,1787.58,66226
1512,2021.09.12,00:00,1789.07,1789.07,1786.96,1787.33,2363
1513,2021.09.13,00:00,1787.19,1798.24,1783.65,1792.97,69339
1514,2021.09.14,00:00,1792.9,1808.52,1780.71,1803.61,71538
1515,2021.09.15,00:00,1803.75,1806.7,1790.65,1795.03,70241
1516,2021.09.16,00:00,1794.73,1796.08,1745.17,1753.8,84306
1517,2021.09.17,00:00,1753.96,1767.41,1747.25,1754.51,73711
1518,2021.09.19,00:00,1753.59,1755.09,1751.07,1754.05,3200
1519,2021.09.20,00:00,1753.85,1766.9,1742.08,1764.85,72696
1520,2021.09.21,00:00,1764.57,1781.63,1757.82,1774.78,65154
1521,2021.09.22,00:00,1774.77,1787.12,1764.62,1766.83,74943
1522,2021.09.23,00:00,1767.18,1776.47,1737.58,1746.09,79515
1523,2021.09.24,00:00,1746.1,1757.55,1740.31,1750.44,67447
1524,2021.09.26,00:00,1749.14,1750.77,1748.09,1749.35,2495
1525,2021.09.27,00:00,1749.46,1760.74,1744.72,1751.18,73836
1526,2021.09.28,00:00,1751.05,1754.33,1728.03,1735.21,87694
1527,2021.09.29,00:00,1735.43,1745.37,1721.56,1728.73,80740
1528,2021.09.30,00:00,1729.13,1764.09,1722.14,1753.02,81564
1529,2021.10.01,00:00,1753.3,1764.18,1749.65,1760.11,73586
1530,2021.10.03,00:00,1760.43,1765.19,1760.21,1763.03,3576
1531,2021.10.04,00:00,1762.83,1770.32,1747.65,1768.02,77359
1532,2021.10.05,00:00,1767.99,1768.28,1748.57,1759.24,67705
1533,2021.10.06,00:00,1759.22,1764.99,1745.78,1763.9,80050
1534,2021.10.07,00:00,1763.74,1766.82,1751.86,1755.03,65748
1535,2021.10.08,00:00,1754.81,1781.28,1753.25,1756.58,72366
1536,2021.10.10,00:00,1757.72,1758.12,1751.0,1753.81,3495
1537,2021.10.11,00:00,1753.9,1760.89,1750.12,1753.18,59001
1538,2021.10.12,00:00,1753.2,1769.22,1750.63,1760.33,71283
1539,2021.10.13,00:00,1760.36,1796.05,1757.79,1791.62,78899
1540,2021.10.14,00:00,1791.75,1800.43,1786.54,1795.36,69938
1541,2021.10.15,00:00,1795.28,1796.33,1764.7,1767.13,71878
1542,2021.10.17,00:00,1766.91,1771.96,1764.73,1770.85,3842
1543,2021.10.18,00:00,1770.93,1771.98,1760.17,1763.96,77424
1544,2021.10.19,00:00,1763.75,1785.01,1763.2,1768.53,77964
1545,2021.10.20,00:00,1768.56,1788.33,1766.75,1781.38,73937
1546,2021.10.21,00:00,1781.5,1789.3,1776.39,1784.53,77984
1547,2021.10.22,00:00,1784.6,1813.69,1782.82,1792.75,80173
1548,2021.10.24,00:00,1792.44,1794.4,1792.13,1794.3,2741
1549,2021.10.25,00:00,1794.38,1809.87,1792.19,1807.75,71624
1550,2021.10.26,00:00,1807.78,1807.78,1782.22,1793.52,68673
1551,2021.10.27,00:00,1793.58,1798.94,1783.35,1796.51,77152
1552,2021.10.28,00:00,1796.49,1810.25,1792.24,1799.52,84745
1553,2021.10.29,00:00,1799.5,1799.89,1771.88,1783.12,82309
1554,2021.10.31,00:00,1782.89,1783.62,1779.05,1780.01,2365
1555,2021.11.01,00:00,1780.05,1795.71,1780.05,1791.99,67432
1556,2021.11.02,00:00,1792.18,1796.28,1786.29,1787.12,67450
1557,2021.11.03,00:00,1787.01,1787.57,1758.73,1777.14,76250
1558,2021.11.04,00:00,1777.77,1798.87,1770.69,1791.28,75053
1559,2021.11.05,00:00,1791.06,1818.18,1785.06,1818.07,77190
1560,2021.11.07,00:00,1815.64,1818.03,1815.49,1815.76,1503
1561,2021.11.08,00:00,1816.03,1826.33,1812.36,1824.47,68410
