,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,Time
34199,34199,1639742400,1.13345,1.13345,1.13049,1.13073,13884,0,0,2021-12-17 18:00:00
34200,34200,1639756800,1.13073,1.13159,1.12666,1.12679,18388,0,0,2021-12-17 22:00:00
34201,34201,1639771200,1.12682,1.12713,1.12344,1.12372,8236,0,0,2021-12-18 02:00:00
34202,34202,1639958400,1.12356,1.125,1.12341,1.12385,5122,0,0,2021-12-20 06:00:00
34203,34203,1639972800,1.12385,1.12547,1.12365,1.12543,4957,0,0,2021-12-20 10:00:00
34204,34204,1639987200,1.1254,1.12741,1.12474,1.1262,14618,0,0,2021-12-20 14:00:00
34205,34205,1640001600,1.1262,1.1298,1.1257,1.12931,13331,0,0,2021-12-20 18:00:00
34206,34206,1640016000,1.12931,1.1304,1.12782,1.12843,16472,0,0,2021-12-20 22:00:00
34207,34207,1640030400,1.12841,1.12871,1.12722,1.12769,6266,0,0,2021-12-21 02:00:00
34208,34208,1640044800,1.12743,1.12847,1.12729,1.12816,4297,0,0,2021-12-21 06:00:00
34209,34209,1640059200,1.12812,1.12868,1.12761,1.12809,3608,0,0,2021-12-21 10:00:00
34210,34210,1640073600,1.12809,1.13027,1.1276,1.12951,11850,0,0,2021-12-21 14:00:00
34211,34211,1640088000,1.12951,1.13015,1.12761,1.12907,12204,0,0,2021-12-21 18:00:00
